# SOURCE:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.444       51.955      -4.80  ROTTERDAM
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# 
  STN,YYYYMMDD,   RH
  344,20120322,    0
  344,20120323,    0
  344,20120324,    0
  344,20120325,    0
  344,20120326,    0
  344,20120327,    0
  344,20120328,    0
  344,20120329,    0
  344,20120330,   -1
  344,20120331,   -1
  344,20120401,    0
  344,20120402,    0
  344,20120403,   -1
  344,20120404,   40
  344,20120405,    0
  344,20120406,   10
  344,20120407,    3
  344,20120408,   30
  344,20120409,   65
  344,20120410,   23
  344,20120411,   13
  344,20120412,   -1
  344,20120413,   -1
  344,20120414,    0
  344,20120415,   -1
  344,20120416,    6
  344,20120417,   35
  344,20120418,    8
  344,20120419,   32
  344,20120420,   15
  344,20120421,   12
  344,20120422,    1
  344,20120423,   38
  344,20120424,   30
  344,20120425,   25
  344,20120426,   66
  344,20120427,    4
  344,20120428,  119
  344,20120429,    1
  344,20120430,   -1
  344,20120501,  102
  344,20120502,  113
  344,20120503,   -1
  344,20120504,   -1
  344,20120505,   -1
  344,20120506,    0
  344,20120507,    1
  344,20120508,   66
  344,20120509,  124
  344,20120510,   54
  344,20120511,   -1
  344,20120512,    2
  344,20120513,    0
  344,20120514,   15
  344,20120515,  106
  344,20120516,   21
  344,20120517,    0
  344,20120518,    3
  344,20120519,    0
  344,20120520,   51
  344,20120521,    0
  344,20120522,    0
  344,20120523,    0
  344,20120524,    0
  344,20120525,    0
  344,20120526,    0
  344,20120527,    0
  344,20120528,    0
  344,20120529,   35
  344,20120530,    0
  344,20120531,   72
  344,20120601,    5
  344,20120602,   -1
  344,20120603,  101
  344,20120604,  157
  344,20120605,    1
  344,20120606,   69
  344,20120607,   17
  344,20120608,    7
  344,20120609,   21
  344,20120610,   -1
  344,20120611,  186
  344,20120612,   16
  344,20120613,    0
  344,20120614,    0
  344,20120615,   96
  344,20120616,   32
  344,20120617,   -1
  344,20120618,  130
  344,20120619,    0
  344,20120620,    0
  344,20120621,  112
  344,20120622,   71
  344,20120623,    0
  344,20120624,  132
  344,20120625,    0
  344,20120626,    0
  344,20120627,    0
  344,20120628,   -1
  344,20120629,   -1
  344,20120630,   37
  344,20120701,    4
  344,20120702,    0
  344,20120703,    0
  344,20120704,    1
  344,20120705,   40
  344,20120706,  107
  344,20120707,    6
  344,20120708,   69
  344,20120709,   -1
  344,20120710,    3
  344,20120711,  126
  344,20120712,   67
  344,20120713,   43
  344,20120714,   81
  344,20120715,  104
  344,20120716,  212
  344,20120717,    1
  344,20120718,   48
  344,20120719,   72
  344,20120720,   -1
  344,20120721,    1
  344,20120722,    0
  344,20120723,    0
  344,20120724,    0
  344,20120725,    0
  344,20120726,    0
  344,20120727,   83
  344,20120728,    1
  344,20120729,   36
  344,20120730,   97
  344,20120731,   14
  344,20120801,   37
  344,20120802,   51
  344,20120803,   36
  344,20120804,    6
  344,20120805,  130
  344,20120806,    8
  344,20120807,  118
  344,20120808,    1
  344,20120809,    0
  344,20120810,    0
  344,20120811,    0
  344,20120812,    0
  344,20120813,   20
  344,20120814,    3
  344,20120815,    2
  344,20120816,    0
  344,20120817,    0
  344,20120818,    0
  344,20120819,    6
  344,20120820,    0
  344,20120821,   -1
  344,20120822,    0
  344,20120823,    0
  344,20120824,   19
  344,20120825,   47
  344,20120826,  182
  344,20120827,   -1
  344,20120828,   24
  344,20120829,   16
  344,20120830,   89
  344,20120831,  139
  344,20120901,    0
  344,20120902,    0
  344,20120903,   -1
  344,20120904,    0
  344,20120905,    0
  344,20120906,    0
  344,20120907,    0
  344,20120908,    0
  344,20120909,    0
  344,20120910,    1
  344,20120911,    4
  344,20120912,   30
  344,20120913,    0
  344,20120914,    8
  344,20120915,   -1
  344,20120916,    0
  344,20120917,    8
  344,20120918,   50
  344,20120919,   17
  344,20120920,   14
  344,20120921,    5
  344,20120922,   27
  344,20120923,   70
  344,20120924,  148
  344,20120925,   78
  344,20120926,   -1
  344,20120927,   44
  344,20120928,    6
  344,20120929,   10
  344,20120930,    0
  344,20121001,   19
  344,20121002,   12
  344,20121003,   49
  344,20121004,  107
  344,20121005,  130
  344,20121006,  141
  344,20121007,    0
  344,20121008,   -1
  344,20121009,    0
  344,20121010,    0
  344,20121011,    7
  344,20121012,  115
  344,20121013,  166
  344,20121014,  143
  344,20121015,   14
  344,20121016,   29
  344,20121017,   18
  344,20121018,  100
  344,20121019,   35
  344,20121020,    4
  344,20121021,    8
  344,20121022,    0
  344,20121023,    0
  344,20121024,    1
  344,20121025,    3
  344,20121026,   -1
  344,20121027,   -1
  344,20121028,    1
  344,20121029,  119
  344,20121030,  105
  344,20121031,   -1
  344,20121101,   45
  344,20121102,   16
  344,20121103,   15
  344,20121104,  103
  344,20121105,   46
  344,20121106,  105
  344,20121107,    4
  344,20121108,    2
  344,20121109,    1
  344,20121110,   42
  344,20121111,   36
  344,20121112,    4
  344,20121113,    5
  344,20121114,    0
  344,20121115,    0
  344,20121116,    0
  344,20121117,    9
  344,20121118,   36
  344,20121119,    0
  344,20121120,    0
  344,20121121,    9
  344,20121122,    0
  344,20121123,   50
  344,20121124,   48
  344,20121125,   17
  344,20121126,    6
  344,20121127,    1
  344,20121128,    9
  344,20121129,    6
  344,20121130,   18
  344,20121201,  109
  344,20121202,   93
  344,20121203,   52
  344,20121204,   96
  344,20121205,   29
  344,20121206,    7
  344,20121207,  107
  344,20121208,    1
  344,20121209,  102
  344,20121210,   16
  344,20121211,    2
  344,20121212,   -1
  344,20121213,   -1
  344,20121214,  103
  344,20121215,    8
  344,20121216,   24
  344,20121217,   31
  344,20121218,   16
  344,20121219,    0
  344,20121220,   68
  344,20121221,    9
  344,20121222,  224
  344,20121223,   76
  344,20121224,   32
  344,20121225,  125
  344,20121226,   45
  344,20121227,   27
  344,20121228,   18
  344,20121229,    2
  344,20121230,   23
  344,20121231,   50
