sample, moisture, knotratio, treering, Edyn, density, beamheight, Estat, bstrength
DO166,12.8 ,0.24,3.66 ,15998,624,134,12708,33.38 
DO167,13.0 ,0.08,3.83 ,17176,592,134,15228,57.76 
DO168,12.6 ,0.40,4.10 ,17531,632,134,17948,60.53 
DO169,14.0 ,0.21,2.16 ,20040,651,134,18636,49.48 
DO170,12.9 ,0.05,2.66 ,18262,636,134,18384,86.46 
DO172,12.5 ,0.08,2.46 ,18309,603,134,16952,51.1 
DO173,14.0 ,0.09,2.37 ,18193,624,134,18580,82.79 
DO174,13.3 ,0.33,2.33 ,16992,617,133,9904,30.63
DO175,13.1 ,0.11,2.67 ,18909,667,134,18740,75.72 
DO176,12.8 ,0.06,2.51 ,19259,599,132,17500,74.33
DO177,12.5 ,0.06,3.21 ,16769,605,133,15820,52.47 
DO178,13.5 ,0.29,4.87 ,14539,543,134,18420,36.01 
DO179,11.8 ,0.12,2.26 ,18605,594,133,16764,80.97 
DO180,13.0 ,0.34,2.54 ,16645,632,132,19848,30.14 
DO181,13.8 ,0.15,2.52 ,20190,660,133,17300,61.46 
DO182,12.4 ,0.10,2.87 ,18680,603,133,18512,79.53 
DO183,13.2 ,0.16,4.83 ,14596,565,136,13000,47.43 
DO184,13.0 ,0.09,3.42 ,17012,640,136,16536,68.75 
DO185,13.5 ,0.14,3.82 ,15838,605,136,15096,69.19 
DO186,13.2 ,0.40,5.25 ,13135,565,137,11468,48.34 
DO187,13.6 ,0.38,3.51 ,12950,575,137,10940,49.44 
DO188,14.0 ,0.30,4.15 ,13794,622,137,9372,48.32 
DO189,13.7 ,0.14,5.54 ,12733,544,137,11424,61.49 
DO190,13.4 ,0.32,5.58 ,12322,532,137,11092,36.16 
DO191,12.8 ,0.25,4.27 ,12366,523,137,11644,42.83 
DO192,13.4 ,0.36,4.40 ,12265,508,137,11644,30.71 
DO193,12.7 ,0.43,4.67 ,11848,541,137,9108,19.34 
DO194,13.3 ,0.15,4.71 ,12271,498,137,11728,53.6 
DO195,13.4 ,0.42,4.67 ,12725,536,137,7772,21.77 
DO196,12.5 ,0.26,4.45 ,11012,625,137,6856,21.87
DO197,13.9 ,0.41,5.13 ,13310,522,137,11480,44.09 
DO198,14.1 ,0.34,4.61 ,12646,550,137,12952,46.17 
DO199,13.8 ,0.27,4.77 ,11584,534,137,9544,41.86 
DO200,13.2 ,0.44,4.75 ,10305,485,137,9428,34.42 
DO201,13.6 ,0.21,5.17 ,12855,602,137,12168,49.37 
DO202,14.5 ,0.13,5.22 ,12202,545,137,11508,54.82 
DO203,13.4 ,0.35,3.96 ,14163,613,136,6796,24.92
DO204,14.5 ,0.28,6.13 ,11568,559,137,12396,41.16 
DO205,13.9 ,0.26,5.64 ,11267,563,137,7932,23.08 
DO206,12.9 ,0.26,4.40 ,12143,559,137,11408,34.97 
DO207,13.9 ,0.44,4.50 ,13831,581,136,9872,15.66 
DO208,14.1 ,0.25,3.65 ,13987,546,137,13536,61.47 
DO209,14.1 ,0.24,3.87 ,15014,599,137,12516,42.56 
DO210,14.5 ,0.41,6.05 ,10785,593,137,7100,16.33 
DO211,12.9 ,0.28,4.16 ,11185,574,137,9916,37.77 
DO212,12.6 ,0.20,6.00 ,9406,509,137,8908,36.77 
DO213,13.3 ,0.12,3.22 ,12947,591,137,12152,32.52 
DO214,13.5 ,0.22,3.04 ,16032,626,137,11868,48.7 
DO215,13.4 ,0.43,5,12956,540,137,11076,47.52 
DO216,14.7 ,0.24,4.54 ,14016,639,137,11124,53.92 
DO217,12.1 ,0.45,4.59 ,11526,538,136,9212,40.92 
DO218,13.6 ,0.24,3.10 ,11894,565,172,13264,54.36 
DO219,14.7 ,0.22,2.32 ,11988,533,172,13188,44.12 
DO220,13.9 ,0.13,6.69 ,10493,526,172,9204,22.73 
DO221,14.2 ,0.24,3.24 ,11181,540,173,11124,46.57 
DO222,13.9 ,0.49,6.41 ,10072,468,171,9104,25.76 
DO223,13.5 ,0.25,4.30 ,12862,547,172,15340,51.34 
DO224,13.5 ,0.49,5.61 ,11007,526,172,9776,31.15 
DO225,14.4 ,0.04,3.83 ,13830,586,172,16452,74.24 
DO226,13.1 ,0.23,6.44 ,9877,471,172,10236,28.32 
DO227,14.6 ,0.26,3.78 ,13268,599,173,13696,49.15 
DO228,15.3 ,0.29,5.00 ,12437,552,172,10872,41.1 
DO229,13.6 ,0.36,3.50 ,16104,603,172,18580,20.36 
DO230,15.2 ,0.18,3.87 ,13746,604,173,14320,48.34 
DO231,14.7 ,0.24,4.85 ,13040,617,171,14776,62.04 
DO232,16.0 ,0.18,7.07 ,10831,583,172,11384,40.92 
DO233,14.5 ,0.27,8.36 ,9021,509,172,6628,31.24 
DO234,15.0 ,0.37,3.04 ,13848,619,172,15336,52.21 
DO235,14.8 ,0.24,7.00 ,8607,503,172,9600,23.8 
DO236,14.6 ,0.45,6.92 ,11269,506,171,10188,31.82 
DO237,13.6 ,0.34,6.07 ,9323,589,171,7816,26.3 
DO238,14.6 ,0.49,5.00 ,11680,509,171,11596,40.45 
DO239,14.9 ,0.29,5.11 ,11313,566,175,11784,41.63 
DO240,14.8 ,0.24,4.33 ,12076,614,171,12616,35.42 
DO241,13.4 ,0.25,4.50 ,11485,544,171,12108,37.6 
DO242,14.2 ,0.10,3.15 ,11603,567,168,11012,51.95 
DO243,13.9 ,0.21,6.50 ,11355,483,167,11924,38.39 
DO244,14.4 ,0.23,3.54 ,13522,599,166,11564,59.75 
DO245,15.5 ,0.04,2.85 ,14244,585,167,14776,63.53 
DO246,13.8 ,0.25,2.48 ,14385,543,167,13668,49.7 
DO247,12.8 ,0.18,5.25 ,11334,530,161,10860,43.74 
DO248,14.9 ,0.27,4.05 ,14026,513,167,15172,54.35 
DO249,13.1 ,0.11,3.03 ,12439,538,167,12476,56.11 
DO250,12.9 ,0.33,5.79 ,11121,483,167,11544,30.98 
DO251,13.1 ,0.37,4.30 ,11460,562,167,9328,22.45 
DO252,13.5 ,0.20,3.81 ,13062,552,161,11984,52.35 
DO253,12.3 ,0.20,3.93 ,10618,546,167,10564,42.1 
DO254,14.2 ,0.54,4.89 ,13552,595,167,11108,43.5 
DO255,14.5 ,0.49,4.74 ,10799,571,167,9376,22.22 
DO256,13.2 ,0.19,3.87 ,12579,599,167,12748,53.65 
DO257,13.9 ,0.21,2.70 ,11226,516,167,11200,48.35 
DO258,12.9 ,0.32,5.43 ,12004,494,167,11780,43.65 
DO259,14.6 ,0.21,3.70 ,8690,511,168,7744,41.83 
DO260,14.1 ,0.23,4.63 ,9759,454,167,7536,32.47 
DO261,14.5 ,0.07,1.96 ,21781,743,167,21464,91.8 
DO262,13.5 ,0.21,4.11 ,12553,470,166,12244,31.28 
DO263,14.7 ,0.19,2.70 ,10867,496,167,11100,44.16 
DO264,15.0 ,0.26,3.77 ,17494,675,166,15320,51.5 
DO265,13.2 ,0.17,3.54 ,13721,646,167,11144,41.47 
DO266,15.7 ,0.26,2.48 ,20121,702,166,18676,42.44 
DO267,15.3 ,0.16,4.57 ,17044,662,166,18612,70.31 
DO268,14.8 ,0.25,5.23 ,12700,555,168,11552,33.35 
DO269,15.1 ,0.11,2.53 ,13075,512,167,13416,57 
DO270,14.6 ,0.48,3.43 ,14775,528,166,15204,64.24 
DO271,16.2 ,0.39,3.30 ,10017,674,168,7084,16.25 
DO272,15.9 ,0.16,3.72 ,19385,737,166,18912,62.79 
DO273,14.2 ,0.27,4.27 ,11249,500,166,11012,32.47 
DO274,15.2 ,0.19,3.22 ,12339,654,167,10768,43.73 
DO275,15.9 ,0.08,2.57 ,21517,720,167,19472,69.48 
DO276,16.4 ,0.08,1.98 ,22121,691,166,23292,82.81 
DO277,15.5 ,0.17,2.36 ,19977,665,167,18928,64.88 
DO278,15.8 ,0.23,3.74 ,11801,657,167,11740,23.14 
DO279,13.8 ,0.24,2.90 ,13013,581,167,12560,49.13 
DO280,15.2 ,0.05,2.85 ,17374,623,166,16260,65.79 
DO281,13.1 ,0.25,4.81 ,9380,592,181,6988,17.39 
DO282,15.1 ,0.05,2.47 ,17434,611,167,16736,72.08 
DO283,14.0 ,0.06,3.27 ,15902,596,167,13460,63.82 
DO284,15.5 ,0.08,3.83 ,15216,583,166,14008,61.5 
DO285,14.4 ,0.06,2.56 ,17183,609,167,17676,57.38 
DO286,15.2 ,0.33,4.06 ,15728,621,167,15980,52.62 
DO287,13.9 ,0.20,2.89 ,15795,668,165,13832,56.77 
DO288,40.9 ,0.17,3.37 ,12989,621,167,14104,40.42 
DO289,13.8 ,0.23,4.17 ,15952,564,160,17140,63.49 
DO290,15.1 ,0.07,2.49 ,16735,592,166,16540,67.2 
DO291,14.8 ,0.21,3.57 ,14215,605,166,12204,49.5
DO292,14.2 ,0.17,3.60 ,13573,643,165,12632,37.6
DO293,14.3 ,0.26,3.54 ,13489,652,166,11228,49.6
DO294,13.4 ,0.29,2.77 ,12619,638,164,11352,38.9
DO295,14.2 ,0.30,3.07 ,14029,648,165,8648,20.7
DO296,14.0 ,0.13,3.58 ,15570,581,193,18232,49.4
DO297,13.1 ,0.33,3.29 ,11004,616,193,11904,34.7
DO298,13.3 ,0.14,3.96 ,14492,573,192,14092,49.0
DO299,13.6 ,0.26,6.43 ,8883,620,193,9072,33.7
DO300,14.6 ,0.34,2.40 ,9790,781,193,12824,45.7
DO301,14.2 ,0.26,6.20 ,12606,525,193,12480,38.0
DO302,14.4 ,0.22,4.19 ,17202,627,192,19584,40.7
DO303,13.5 ,0.24,4.61 ,13123,553,191,12204,58.8
DO304,13.2 ,0.28,3.41 ,14107,549,193,13460,54.0
DO305,14.2 ,0.58,4.12 ,13145,570,192,13896,55.0
DO306,14.8 ,0.23,4.96 ,11494,565,193,10244,50.9
DO307,14.4 ,0.23,5.79 ,11630,537,192,11040,29.3
DO308,14.0 ,0.22,5.39 ,11871,480,192,12968,35.4
DO309,13.8 ,0.19,4.24 ,10418,515,193,12184,31.2
DO310,14.0 ,0.14,4.70 ,13819,582,190,15824,57.1
DO311,15.4 ,0.30,3.54 ,11469,620,193,13552,41.5
DO312,13.2 ,0.35,4.52 ,13731,563,192,12980,28.8
DO313,13.5 ,0.29,4.29 ,12104,572,193,11592,33.8
DO314,14.4 ,0.22,3.68 ,12220,535,192,13636,53.6
DO315,14.1 ,0.25,4.04 ,16237,627,193,16092,41.7
DO316,14.4 ,0.35,5.67 ,11164,493,193,11920,30.3
DO317,14.1 ,0.40,3.68 ,9882,500,192,10260,17.1
DO318,14.6 ,0.14,5.28 ,11866,519,193,12332,30.9
DO319,14.4 ,0.32,4.09 ,11045,531,192,13296,33.4
DO320,13.3 ,0.15,4.55 ,11579,516,192,11244,32.9
DO321,13.8 ,0.30,5.00 ,10481,449,193,10456,31.2
DO322,11.3 ,0.23,5.15 ,13363,532,192,13300,41.0
DO323,12.8 ,0.54,5.73 ,13115,568,192,12760,39.2
DO324,13.9 ,0.28,3.00 ,12559,589,192,13648,61.5
DO325,13.8 ,0.21,2.90 ,12572,589,192,14428,55.4
DO326,12.9 ,0.22,4.29 ,12339,567,193,12804,53.5
DO327,13.6 ,0.22,4.81 ,11808,544,192,12656,56.9
DO328,13.9 ,0.27,4.17 ,12292,533,192,11184,31.0
DO329,12.1 ,0.33,5.05 ,9641,490,191,9716,37.6
DO330,13.8 ,0.26,5.89 ,10502,535,192,10740,21.6
DO331,14.1 ,0.40,3.91 ,9556,491,192,9932,33.0
DO332,14.2 ,0.21,4.54 ,11461,497,192,10684,36.3
DO333,13.7 ,0.14,7.58 ,11228,512,191,10584,46.3
DO334,13.5 ,0.52,3.93 ,12075,505,193,10128,33.0
DO335,13.6 ,0.43,5.82 ,9469,457,192,10396,29.4
DO336,11.5 ,0.15,5.06 ,12456,589,173,12752,40.6
DO337,12.7 ,0.27,6.43 ,9706,467,197,8316,36.7
DO339,13.6 ,0.18,5.88 ,9449,457,197,9484,26.8
DO340,14.1 ,0.22,6.17 ,12908,593,197,15136,35.6
DO342,14.5 ,0.34,5.72 ,11753,491,196,10488,37.5
DO343,14.9 ,0.32,6.61 ,12879,592,197,11008,26.2
DO344,13.7 ,0.24,8.20 ,9296,507,197,8408,25.0
DO345,13.4 ,0.25,7.13 ,9576,489,197,8116,17.1
DO346,14.4 ,0.19,3.39 ,13413,580,196,13012,50.9
DO347,13.8 ,0.62,4.57 ,13734,553,196,11864,30.2
DO348,14.8 ,0.37,3.43 ,12455,539,198,11228,32.7
DO349,13.9 ,0.26,5.57 ,12128,521,198,11612,33.4
DO350,13.6 ,0.14,5.71 ,11296,506,175,11788,29.3
DO351,13.8 ,0.33,6.73 ,11302,506,175,10552,32.8
DO352,14.1 ,0.26,9.00 ,7166,448,175,7260,18.7
DO353,12.2 ,0.19,4.42 ,10936,547,197,11576,19.9
DO354,12.6 ,0.25,5.29 ,10041,532,175,7924,22.3
DO355,12.8 ,0.29,6.70 ,10689,538,175,7980,28.6
DO356,14.1 ,0.18,5.56 ,13652,517,175,14572,47.4
DO357,12.7 ,0.45,7.38 ,9358,465,197,9768,23.1
DO358,13.1 ,0.45,4.90 ,12433,539,175,13380,31.9
DO359,13.9 ,0.33,5.28 ,10721,534,174,8368,28.8
DO360,13.4 ,0.20,7.33 ,7821,451,175,7884,21.1
DO361,12.9 ,0.19,5.16 ,14075,532,175,14124,48.7
DO362,13.5 ,0.39,8.50 ,9093,476,197,8780,23.8
DO363,13.7 ,0.26,4.64 ,13331,524,174,11480,31.2
