# SOURCE:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.444       51.955      -4.80  ROTTERDAM
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     =  Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   TG,   RH, EV24
  344,20000309,  104,   14,    7
  344,20000310,   68,   19,    4
  344,20000311,   85,    2,   16
  344,20000312,   65,    0,   13
  344,20000313,   79,    2,    7
  344,20000314,   81,   11,    7
  344,20000315,   60,    5,   12
  344,20000316,   74,   -1,    6
  344,20000317,   73,    0,    4
  344,20000318,   69,   20,    9
  344,20000319,   58,   -1,   16
  344,20000320,   54,    0,   16
  344,20000321,   61,    0,    9
  344,20000322,   72,    0,   19
  344,20000323,   75,    0,   19
  344,20000324,   93,   65,    4
  344,20000325,   86,   51,   11
  344,20000326,   68,   42,   13
  344,20000327,   59,    6,    9
  344,20000328,   44,   -1,    2
  344,20000329,   60,   -1,    6
  344,20000330,   66,    0,    5
  344,20000331,   62,   -1,    4
  344,20000401,   70,   13,   10
  344,20000402,  104,   12,   18
  344,20000403,  119,   -1,   17
  344,20000404,   93,    7,   12
  344,20000405,   42,    0,   10
  344,20000406,   45,    0,   22
  344,20000407,   51,    0,   22
  344,20000408,   70,    0,   19
  344,20000409,   97,    0,   29
  344,20000410,   59,    0,   28
  344,20000411,   59,   -1,   20
  344,20000412,   59,   39,    9
  344,20000413,   54,   49,    7
  344,20000414,   67,   13,   20
  344,20000415,   84,   82,   11
  344,20000416,   93,   -1,   23
  344,20000417,  103,   87,   21
  344,20000418,  112,    0,   25
  344,20000419,  117,    0,   28
  344,20000420,  133,    3,   10
  344,20000421,  130,   19,   24
  344,20000422,  131,   60,   10
  344,20000423,  103,   22,    7
  344,20000424,  110,    0,   22
  344,20000425,  149,    0,   27
  344,20000426,  143,    7,   24
  344,20000427,  141,    2,   16
  344,20000428,  145,   -1,   33
  344,20000429,  111,    4,   11
  344,20000430,  126,   -1,   11
  344,20000501,  125,   -1,   21
  344,20000502,  101,   -1,    7
  344,20000503,  104,    1,    7
  344,20000504,  123,    0,   22
  344,20000505,  174,    0,   42
  344,20000506,  197,    0,   40
  344,20000507,  191,    2,   43
  344,20000508,  189,   -1,   36
  344,20000509,  188,   20,   35
  344,20000510,  187,    9,   30
  344,20000511,  178,    0,   32
  344,20000512,  188,    0,   43
  344,20000513,  175,    0,   39
  344,20000514,  182,    0,   44
  344,20000515,  198,    0,   45
  344,20000516,  202,   27,   40
  344,20000517,  132,    8,   24
  344,20000518,  115,   25,   27
  344,20000519,  110,   11,   19
  344,20000520,  111,    3,   37
  344,20000521,  107,   89,    8
  344,20000522,  118,   -1,   22
  344,20000523,  143,   62,   17
  344,20000524,  139,  134,   23
  344,20000525,  132,   73,   26
  344,20000526,  141,   66,   23
  344,20000527,  126,    3,   25
  344,20000528,   96,  256,   10
  344,20000529,  110,   74,   30
  344,20000530,  105,   35,   16
  344,20000531,  125,    0,   40
  344,20000601,  151,    8,   13
  344,20000602,  156,    0,   40
  344,20000603,  180,   86,   34
  344,20000604,  157,    3,   37
  344,20000605,  123,   49,   12
  344,20000606,  133,   14,   25
  344,20000607,  127,    0,   33
  344,20000608,  168,    0,   49
  344,20000609,  208,    0,   50
  344,20000610,  152,   -1,   34
  344,20000611,  148,    0,   35
  344,20000612,  164,    0,   30
  344,20000613,  164,   -1,   27
  344,20000614,  166,   47,   23
  344,20000615,  147,    4,   37
  344,20000616,  142,    0,   47
  344,20000617,  168,    0,   50
  344,20000618,  228,    0,   54
  344,20000619,  256,    0,   57
  344,20000620,  252,    0,   55
  344,20000621,  197,    6,   25
  344,20000622,  166,   38,   27
  344,20000623,  151,   91,   27
  344,20000624,  131,   68,   20
  344,20000625,  128,    3,   20
  344,20000626,  125,    0,   26
  344,20000627,  125,    0,   41
  344,20000628,  122,    0,   29
  344,20000629,  124,    0,   24
  344,20000630,  141,    0,   39
  344,20000701,  144,   15,   14
  344,20000702,  187,  138,   35
  344,20000703,  184,    4,   44
  344,20000704,  172,    1,   34
  344,20000705,  157,  122,   11
  344,20000706,  165,    0,   25
  344,20000707,  138,   16,   22
  344,20000708,  132,   33,   15
  344,20000709,  143,  167,    7
  344,20000710,  151,  186,   36
  344,20000711,  130,   30,   10
  344,20000712,  137,   17,   35
  344,20000713,  148,  155,   11
  344,20000714,  139,   73,   27
  344,20000715,  134,   32,   26
  344,20000716,  135,   23,   15
  344,20000717,  136,    5,   15
  344,20000718,  134,   -1,   29
  344,20000719,  161,    6,   35
  344,20000720,  163,    0,   46
  344,20000721,  141,   -1,    8
  344,20000722,  142,    0,   17
  344,20000723,  169,    0,   40
  344,20000724,  179,  157,   32
  344,20000725,  152,   -1,    8
  344,20000726,  159,    0,   19
  344,20000727,  165,   27,   23
  344,20000728,  171,    0,   35
  344,20000729,  178,    0,   39
  344,20000730,  174,    0,   37
  344,20000731,  176,    0,   35
  344,20000801,  207,   25,   40
  344,20000802,  187,    0,   43
  344,20000803,  170,   -1,   28
  344,20000804,  161,   -1,   31
  344,20000805,  161,    0,   32
  344,20000806,  171,    0,   28
  344,20000807,  176,   -1,   28
  344,20000808,  174,   -1,   31
  344,20000809,  189,    0,   37
  344,20000810,  186,    5,   14
  344,20000811,  184,    0,   32
  344,20000812,  180,    0,   42
  344,20000813,  225,   -1,   35
  344,20000814,  211,   46,   27
  344,20000815,  185,    0,   23
  344,20000816,  183,    0,   30
  344,20000817,  185,    0,   33
  344,20000818,  181,    2,   26
  344,20000819,  189,    8,   26
  344,20000820,  171,   63,   22
  344,20000821,  152,    3,   24
  344,20000822,  158,    0,   29
  344,20000823,  160,    0,   35
  344,20000824,  157,    0,   37
  344,20000825,  168,    0,   25
  344,20000826,  191,    0,   30
  344,20000827,  179,    2,   13
  344,20000828,  160,    3,   16
  344,20000829,  157,    6,   31
  344,20000830,  141,    0,   28
  344,20000831,  154,    0,   29
  344,20000901,  164,   81,   21
  344,20000902,  153,  161,   15
  344,20000903,  150,   13,   20
  344,20000904,  133,    2,   10
  344,20000905,  155,    4,   23
  344,20000906,  156,   36,    8
  344,20000907,  159,    1,   16
  344,20000908,  179,    4,    5
  344,20000909,  173,    1,   10
  344,20000910,  178,    0,   24
  344,20000911,  194,    0,   30
  344,20000912,  180,    0,   11
  344,20000913,  159,    0,   19
  344,20000914,  159,    0,   17
  344,20000915,  180,   70,   19
  344,20000916,  161,   42,   11
  344,20000917,  155,   51,    9
  344,20000918,  168,    0,   17
  344,20000919,  183,   -1,   26
  344,20000920,  147,    1,    8
  344,20000921,  142,    0,   19
  344,20000922,  172,   -1,   16
  344,20000923,  177,    0,   25
  344,20000924,  153,   16,   23
  344,20000925,  153,    1,   18
  344,20000926,  177,   56,   18
  344,20000927,  164,    6,   18
  344,20000928,  154,   79,    6
  344,20000929,  169,    7,   11
  344,20000930,  156,   11,    8
  344,20001001,  142,   19,    5
  344,20001002,  133,   27,   12
  344,20001003,  137,    8,   16
  344,20001004,  129,    5,    4
  344,20001005,  121,   41,    8
  344,20001006,   95,  164,   10
  344,20001007,   98,    7,   15
  344,20001008,  106,   90,    3
  344,20001009,  100,   27,   14
  344,20001010,   96,  149,    7
  344,20001011,  103,  107,    8
  344,20001012,  116,    2,   11
  344,20001013,  113,   -1,   12
  344,20001014,   98,    0,    7
  344,20001015,  106,   -1,    6
  344,20001016,  118,  110,    2
  344,20001017,  106,   22,   10
  344,20001018,  107,   31,    4
  344,20001019,  112,   78,   12
  344,20001020,  123,    1,   10
  344,20001021,  153,   -1,    9
  344,20001022,  154,    3,    9
  344,20001023,  151,   28,   11
  344,20001024,  127,    4,    5
  344,20001025,  125,   17,    4
  344,20001026,  112,   10,    7
  344,20001027,  117,   93,    1
  344,20001028,  135,   62,    2
  344,20001029,  103,   42,    5
  344,20001030,  106,  170,    1
  344,20001031,   99,   16,    5
  344,20001101,   86,   95,    3
  344,20001102,   84,   77,    3
  344,20001103,   85,   13,    9
  344,20001104,   76,   38,    7
  344,20001105,   75,    8,    7
  344,20001106,   93,  122,    3
  344,20001107,   83,   78,    2
  344,20001108,   84,  122,    2
  344,20001109,   83,  326,    2
  344,20001110,   77,  131,    2
  344,20001111,   90,    8,    4
  344,20001112,   90,   77,    1
  344,20001113,   80,    0,    3
  344,20001114,   58,    4,    2
  344,20001115,   59,    9,    1
  344,20001116,   75,   64,    2
  344,20001117,   54,   60,    5
  344,20001118,   72,   18,    4
  344,20001119,   92,   62,    2
  344,20001120,   62,   62,    3
  344,20001121,   63,   52,    1
  344,20001122,   89,    5,    5
  344,20001123,   87,   24,    1
  344,20001124,   76,   23,    3
  344,20001125,   77,   78,    2
  344,20001126,   82,   14,    2
  344,20001127,   73,    2,    4
  344,20001128,  125,   53,    2
  344,20001129,  124,   -1,    4
  344,20001130,  110,    0,    6
  344,20001201,  120,   27,    2
  344,20001202,  107,   -1,    3
  344,20001203,   89,  122,    4
  344,20001204,   79,   19,    2
  344,20001205,  104,   -1,    3
  344,20001206,  115,   29,    3
  344,20001207,  103,   19,    3
  344,20001208,  125,    4,    4
  344,20001209,   94,    0,    4
  344,20001210,  100,   68,    1
  344,20001211,  120,   84,    2
  344,20001212,  130,   74,    1
  344,20001213,  109,   31,    2
  344,20001214,   80,   81,    2
  344,20001215,   60,  127,    3
  344,20001216,   43,    0,    2
  344,20001217,   28,    0,    2
  344,20001218,   40,    0,    1
  344,20001219,   37,    0,    2
  344,20001220,   21,    0,    3
  344,20001221,    8,    0,    4
  344,20001222,  -19,    0,    4
  344,20001223,  -16,    4,    4
  344,20001224,    6,   28,    1
  344,20001225,   -3,    1,    2
  344,20001226,  -20,    0,    2
  344,20001227,  -11,   28,    1
  344,20001228,    9,    6,    2
  344,20001229,   19,  119,    3
  344,20001230,   21,   95,    2
  344,20001231,   12,    4,    4
  344,20010101,   50,  121,    1
  344,20010102,   91,   -1,    3
  344,20010103,   70,   26,    3
  344,20010104,   79,   37,    1
  344,20010105,   77,  177,    0
  344,20010106,   64,   12,    3
  344,20010107,   57,    1,    2
  344,20010108,   47,   -1,    1
  344,20010109,   44,    0,    3
  344,20010110,   30,   -1,    3
  344,20010111,   16,    0,    4
  344,20010112,   14,    0,    3
  344,20010113,   -1,    0,    5
  344,20010114,   -8,    0,    2
  344,20010115,  -15,    0,    5
  344,20010116,  -23,    0,    5
  344,20010117,  -48,    0,    4
  344,20010118,  -34,   -1,    1
  344,20010119,   -5,    1,    2
  344,20010120,    6,   82,    1
  344,20010121,    3,   40,    4
  344,20010122,   36,   11,    2
  344,20010123,   75,   36,    3
  344,20010124,   86,   55,    4
  344,20010125,   63,    7,    2
  344,20010126,   54,    2,    2
  344,20010127,   45,  174,    2
  344,20010128,   40,    5,    5
  344,20010129,   30,    0,    5
  344,20010130,   29,   -1,    4
  344,20010131,   12,    0,    4
  344,20010201,   11,    2,    4
  344,20010202,    8,   47,    1
  344,20010203,   29,   83,    1
  344,20010204,   55,  261,    1
  344,20010205,   88,   51,    3
  344,20010206,  108,   52,    4
  344,20010207,  101,   69,    7
  344,20010208,   81,  163,    2
  344,20010209,   32,    0,    6
  344,20010210,   32,    9,    8
  344,20010211,  102,   -1,    3
  344,20010212,   96,   45,    3
  344,20010213,   58,    0,   10
  344,20010214,   32,    0,    6
  344,20010215,   42,    0,   10
  344,20010216,   33,    2,    2
  344,20010217,   44,   -1,    3
  344,20010218,   48,    0,    7
  344,20010219,   51,   -1,    4
  344,20010220,   49,    0,    7
  344,20010221,   67,   28,    3
  344,20010222,   55,   80,    6
  344,20010223,   26,   27,    9
  344,20010224,   -4,    7,   12
  344,20010225,   17,   49,    7
  344,20010226,   23,   -1,    8
  344,20010227,   27,   -1,    7
  344,20010228,   36,   20,    6
  344,20010301,   22,   -1,    2
  344,20010302,   11,   -1,    8
  344,20010303,   -6,   -1,   12
  344,20010304,   14,    0,    4
  344,20010305,   21,    0,    5
  344,20010306,   39,    0,   15
  344,20010307,   84,   47,    9
  344,20010308,   85,   29,    3
  344,20010309,   92,    6,    4
  344,20010310,   99,   24,    3
  344,20010311,  110,   59,    5
  344,20010312,   82,   40,   19
  344,20010313,   59,   12,    5
  344,20010314,   57,    0,   14
  344,20010315,   72,    1,   12
  344,20010316,   72,    3,    6
  344,20010317,   35,   -1,    2
  344,20010318,   27,   48,    3
  344,20010319,   21,   50,   10
  344,20010320,   23,    0,   12
  344,20010321,   15,   55,    2
  344,20010322,   36,    0,    5
  344,20010323,   74,  191,    2
  344,20010324,   71,   -1,   13
  344,20010325,   32,   -1,    3
  344,20010326,   35,    0,    9
  344,20010327,   42,    0,   10
  344,20010328,   76,   91,   10
  344,20010329,   73,   13,    9
  344,20010330,   69,    0,   10
  344,20010331,   96,   -1,   12
  344,20010401,  110,    1,   10
  344,20010402,  152,   -1,   31
  344,20010403,  111,    0,   24
  344,20010404,   91,   47,   10
  344,20010405,   80,  141,   12
  344,20010406,  110,   52,   12
  344,20010407,   83,   42,   18
  344,20010408,   68,   24,   16
  344,20010409,   80,    1,    7
  344,20010410,   90,   10,   14
  344,20010411,   82,   29,   18
  344,20010412,   42,    5,   14
  344,20010413,   34,   -1,   14
  344,20010414,   30,   79,   10
  344,20010415,   79,   24,   13
  344,20010416,   68,   57,   13
  344,20010417,   62,   -1,   15
  344,20010418,   53,   79,   22
  344,20010419,   43,   63,   20
  344,20010420,   38,   22,   12
  344,20010421,   53,    0,   24
  344,20010422,   62,    0,   25
  344,20010423,   88,    0,   17
  344,20010424,  102,    7,   15
  344,20010425,  102,  105,   16
  344,20010426,  105,   14,   22
  344,20010427,  107,    4,   16
  344,20010428,  109,   44,   25
  344,20010429,  121,    4,   30
  344,20010430,  114,    7,   17
  344,20010501,  105,    0,   17
  344,20010502,  131,   -1,   31
  344,20010503,  115,   12,   16
  344,20010504,   78,   36,   10
  344,20010505,   77,    0,   26
  344,20010506,   98,   -1,   26
  344,20010507,  109,    0,   40
  344,20010508,  103,    0,   38
  344,20010509,  168,   -1,   39
  344,20010510,  195,    0,   46
  344,20010511,  187,    0,   48
  344,20010512,  184,    0,   46
  344,20010513,  189,    0,   46
  344,20010514,  135,   17,   20
  344,20010515,  141,   16,   28
  344,20010516,  139,   77,   20
  344,20010517,  122,   49,   23
  344,20010518,  114,   37,   16
  344,20010519,  112,    0,   42
  344,20010520,  112,    0,   26
  344,20010521,  121,    0,   43
  344,20010522,  140,    0,   46
  344,20010523,  164,    0,   48
  344,20010524,  158,    0,   47
  344,20010525,  158,    0,   49
  344,20010526,  166,    0,   38
  344,20010527,  156,   -1,   19
  344,20010528,  172,    3,   30
  344,20010529,  159,    0,   47
  344,20010530,  162,    0,   36
  344,20010531,  130,    0,   35
  344,20010601,  127,   30,   22
  344,20010602,  115,  112,   13
  344,20010603,   91,   23,   21
  344,20010604,  128,    0,   27
  344,20010605,  156,   -1,   42
  344,20010606,  158,   -1,   39
  344,20010607,  135,   -1,   41
  344,20010608,  112,    0,   42
  344,20010609,  110,    0,   26
  344,20010610,  115,    3,   21
  344,20010611,  127,    0,   39
  344,20010612,  134,    0,   30
  344,20010613,  128,    0,   39
  344,20010614,  157,    0,   47
  344,20010615,  170,   70,   30
  344,20010616,  161,   18,   30
  344,20010617,  147,   59,   18
  344,20010618,  126,    0,   13
  344,20010619,  137,    0,   43
  344,20010620,  175,    0,   42
  344,20010621,  140,    0,   39
  344,20010622,  138,   -1,   20
  344,20010623,  151,    0,   33
  344,20010624,  180,    0,   41
  344,20010625,  193,    0,   54
  344,20010626,  221,    0,   52
  344,20010627,  188,   26,   16
  344,20010628,  186,    1,   41
  344,20010629,  198,    0,   40
  344,20010630,  192,    7,   39
  344,20010701,  180,    0,   50
  344,20010702,  194,    0,   20
  344,20010703,  211,    0,   54
  344,20010704,  228,    0,   57
  344,20010705,  242,   22,   53
  344,20010706,  213,    0,   33
  344,20010707,  195,  240,   17
  344,20010708,  175,  143,    5
  344,20010709,  177,   -1,   29
  344,20010710,  181,   20,   23
  344,20010711,  167,    7,   28
  344,20010712,  162,   25,   24
  344,20010713,  158,  116,   26
  344,20010714,  146,    5,   16
  344,20010715,  145,   67,   30
  344,20010716,  145,    0,   33
  344,20010717,  170,   38,   35
  344,20010718,  160,  192,   23
  344,20010719,  160,   43,   30
  344,20010720,  151,   39,   19
  344,20010721,  160,   19,   10
  344,20010722,  190,    0,   42
  344,20010723,  184,   15,   27
  344,20010724,  190,    0,   48
  344,20010725,  187,    0,   38
  344,20010726,  214,    0,   44
  344,20010727,  215,    3,   26
  344,20010728,  193,    0,   46
  344,20010729,  210,    0,   43
  344,20010730,  219,    0,   46
  344,20010731,  190,    0,   36
  344,20010801,  173,    0,   38
  344,20010802,  199,    7,   33
  344,20010803,  190,   13,   28
  344,20010804,  179,    5,   36
  344,20010805,  166,   98,   32
  344,20010806,  179,   86,   18
  344,20010807,  178,  204,   16
  344,20010808,  169,   65,   26
  344,20010809,  153,  168,   18
  344,20010810,  146,   30,   32
  344,20010811,  165,    0,   35
  344,20010812,  172,   38,   11
  344,20010813,  189,   -1,   11
  344,20010814,  213,    0,   40
  344,20010815,  245,    0,   39
  344,20010816,  194,    8,   30
  344,20010817,  178,    0,   31
  344,20010818,  200,  255,   32
  344,20010819,  193,   26,   25
  344,20010820,  180,   -1,   28
  344,20010821,  184,    0,   31
  344,20010822,  204,    0,   31
  344,20010823,  223,    0,   29
  344,20010824,  229,    0,   35
  344,20010825,  249,    0,   38
  344,20010826,  222,  120,   23
  344,20010827,  165,    7,   34
  344,20010828,  146,    0,   31
  344,20010829,  153,    0,   30
  344,20010830,  152,    5,   12
  344,20010831,  157,   78,   14
  344,20010901,  155,    8,   31
  344,20010902,  169,    5,    7
  344,20010903,  159,  329,   14
  344,20010904,  139,  236,   16
  344,20010905,  145,   10,   17
  344,20010906,  157,  107,   22
  344,20010907,  156,    8,   10
  344,20010908,  137,   69,   25
  344,20010909,  128,  113,   14
  344,20010910,  127,  104,   14
  344,20010911,  143,   21,   23
  344,20010912,  157,   19,   12
  344,20010913,  130,  179,   14
  344,20010914,  123,    9,   18
  344,20010915,  134,   77,   17
  344,20010916,  113,  128,   12
  344,20010917,  119,  227,   12
  344,20010918,  114,    7,   10
  344,20010919,  113,  583,    1
  344,20010920,  132,   44,   15
  344,20010921,  130,   78,   23
  344,20010922,  123,   15,   16
  344,20010923,  129,   13,   20
  344,20010924,  130,   -1,   15
  344,20010925,  116,    0,   16
  344,20010926,  132,   49,   19
  344,20010927,  156,   39,   11
  344,20010928,  166,    0,   23
  344,20010929,  150,   49,   12
  344,20010930,  162,   14,   16
  344,20011001,  172,   12,    6
  344,20011002,  163,  101,    3
  344,20011003,  155,   -1,   16
  344,20011004,  144,   -1,   15
  344,20011005,  147,   -1,   19
  344,20011006,  159,   45,   12
  344,20011007,  154,   12,   14
  344,20011008,  148,    0,   15
  344,20011009,  145,    2,   10
  344,20011010,  143,    0,   14
  344,20011011,  151,    1,    4
  344,20011012,  158,    0,   17
  344,20011013,  181,    0,   15
  344,20011014,  168,    2,    7
  344,20011015,  171,    3,   14
  344,20011016,  133,    0,   14
  344,20011017,  143,    0,   13
  344,20011018,  147,   27,    8
  344,20011019,  150,    0,    8
  344,20011020,  157,   10,   11
  344,20011021,  144,    1,    4
  344,20011022,  130,    0,    7
  344,20011023,  135,   83,    2
  344,20011024,  124,    7,    6
  344,20011025,  137,    4,    9
  344,20011026,  132,   23,   10
  344,20011027,  134,    2,    7
  344,20011028,  115,   10,    9
  344,20011029,  127,    0,    6
  344,20011030,  156,    0,   11
  344,20011031,  122,   43,    8
  344,20011101,   88,   -1,    9
  344,20011102,   99,    0,    9
  344,20011103,  107,    0,    4
  344,20011104,  107,   -1,    3
  344,20011105,   87,    1,    7
  344,20011106,  107,   51,    4
  344,20011107,  105,   67,    3
  344,20011108,   70,   91,    4
  344,20011109,   28,   11,    6
  344,20011110,   43,    0,    5
  344,20011111,   79,    1,    2
  344,20011112,  103,   43,    2
  344,20011113,   55,   43,    3
  344,20011114,   40,   28,    7
  344,20011115,   16,    0,    7
  344,20011116,   89,    1,    2
  344,20011117,   82,   -1,    3
  344,20011118,   71,   -1,    3
  344,20011119,   55,   -1,    2
  344,20011120,   70,   -1,    2
  344,20011121,   96,   38,    3
  344,20011122,   79,   78,    3
  344,20011123,   49,   32,    3
  344,20011124,   86,   19,    1
  344,20011125,  110,   72,    3
  344,20011126,   57,    9,    3
  344,20011127,   50,   46,    4
  344,20011128,   70,    3,    5
  344,20011129,   94,  186,    1
  344,20011130,  119,   87,    1
  344,20011201,  116,   46,    1
  344,20011202,   73,   15,    2
  344,20011203,   83,    4,    2
  344,20011204,   96,   51,    1
  344,20011205,   86,   26,    2
  344,20011206,   66,   10,    4
  344,20011207,   24,    0,    5
  344,20011208,    1,    0,    2
  344,20011209,   -2,    0,    3
  344,20011210,    3,    0,    3
  344,20011211,   32,    0,    2
  344,20011212,   44,    0,    1
  344,20011213,   24,   -1,    2
  344,20011214,  -33,    0,    3
  344,20011215,  -10,    7,    1
  344,20011216,   -7,    0,    3
  344,20011217,    7,    4,    3
  344,20011218,   20,   10,    1
  344,20011219,   51,   33,    1
  344,20011220,   22,    2,    4
  344,20011221,   55,  158,    0
  344,20011222,   15,   25,    1
  344,20011223,  -18,    0,    5
  344,20011224,   53,   49,    1
  344,20011225,   57,   66,    3
  344,20011226,   17,   86,    1
  344,20011227,   43,  100,    1
  344,20011228,   65,   18,    3
  344,20011229,   21,   34,    1
  344,20011230,    1,   21,    3
  344,20011231,    1,   13,    4
  344,20020101,    2,   -1,    2
  344,20020102,  -16,    0,    5
  344,20020103,  -12,    0,    5
  344,20020104,  -23,    0,    4
  344,20020105,   -1,    0,    4
  344,20020106,   28,    0,    1
  344,20020107,   33,    0,    1
  344,20020108,   17,    0,    1
  344,20020109,   -9,    0,    4
  344,20020110,    8,    0,    3
  344,20020111,   32,    8,    1
  344,20020112,   35,   11,    1
  344,20020113,   27,   -1,    4
  344,20020114,   44,   -1,    2
  344,20020115,   46,   78,    1
  344,20020116,   37,   -1,    5
  344,20020117,   54,   34,    2
  344,20020118,   47,    6,    5
  344,20020119,   73,   33,    6
  344,20020120,   84,   83,    1
  344,20020121,  100,    5,    2
  344,20020122,   78,    7,    3
  344,20020123,   73,   42,    1
  344,20020124,   82,   53,    2
  344,20020125,   53,   32,    4
  344,20020126,  101,  219,    2
  344,20020127,   98,   62,    4
  344,20020128,  109,   30,    6
  344,20020129,  101,   -1,    5
  344,20020130,  103,   -1,    4
  344,20020131,   88,   26,    8
  344,20020201,  106,    2,    3
  344,20020202,  119,    0,   10
  344,20020203,  106,   -1,    6
  344,20020204,   85,   97,    4
  344,20020205,  106,   93,    2
  344,20020206,   74,   23,    4
  344,20020207,   57,   60,    3
  344,20020208,  103,   16,    4
  344,20020209,  103,   19,    3
  344,20020210,   86,   51,    6
  344,20020211,  112,  142,    1
  344,20020212,  109,    4,    8
  344,20020213,   78,   -1,    7
  344,20020214,   30,    0,   11
  344,20020215,   12,    0,   10
  344,20020216,   20,    0,   11
  344,20020217,   17,    0,   10
  344,20020218,   61,   15,    9
  344,20020219,   74,  110,    9
  344,20020220,   72,  117,    9
  344,20020221,   43,    2,   11
  344,20020222,   75,  158,    5
  344,20020223,   46,   31,    6
  344,20020224,   40,   62,    8
  344,20020225,   74,  186,    3
  344,20020226,  100,  173,   13
  344,20020227,   64,   10,   12
  344,20020228,   56,   57,    8
  344,20020301,   44,  110,   10
  344,20020302,   18,    9,   13
  344,20020303,   50,    0,   12
  344,20020304,   81,    0,    7
  344,20020305,   72,    0,   11
  344,20020306,   83,   25,    4
  344,20020307,   89,   -1,   17
  344,20020308,   85,    0,   13
  344,20020309,   84,    5,   16
  344,20020310,   78,    0,   18
  344,20020311,   96,    0,   17
  344,20020312,   98,   14,   12
  344,20020313,   53,   43,    2
  344,20020314,   41,    3,   13
  344,20020315,   54,   -1,    7
  344,20020316,  112,    0,   21
  344,20020317,  102,   33,    6
  344,20020318,   99,  112,    6
  344,20020319,   91,   11,   15
  344,20020320,  103,   81,   14
  344,20020321,  103,   10,   17
  344,20020322,   73,    6,   12
  344,20020323,   55,   -1,   14
  344,20020324,   41,    0,   16
  344,20020325,   52,    0,   17
  344,20020326,   65,    0,    7
  344,20020327,   63,    0,   23
  344,20020328,   72,    0,   25
  344,20020329,   81,    0,   25
  344,20020330,  102,    0,   16
  344,20020331,  103,   -1,   21
  344,20020401,  125,    0,   28
  344,20020402,  152,    0,   27
  344,20020403,  144,    0,   30
  344,20020404,  125,    0,   28
  344,20020405,   97,    0,   29
  344,20020406,   62,    0,   27
  344,20020407,   69,    0,   28
  344,20020408,   82,    0,   28
  344,20020409,   58,    2,   13
  344,20020410,   75,    0,   23
  344,20020411,   75,    0,   19
  344,20020412,   73,    0,   22
  344,20020413,   68,    0,   21
